# public-custody.tsv — exact registry of every Lean source retained here.
# columns: path<TAB>surface-role<TAB>stable-surface-owners
# Use '-' when a public-evidence or repository-aggregate source has no stable
# owner. Owner lists are comma-separated and must match the transitive closures
# rooted in stable-surfaces.tsv exactly.
LeanProofs.lean	REPOSITORY-AGGREGATE	-
LeanProofs/CollapsedSurface.lean	PUBLIC-EVIDENCE	-
LeanProofs/CustodyIndexed.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/ArtifactProfiles.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/BridgeCompositionSequent.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/BridgeSequent.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/CustodyIndexedSequent.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/DecidableScreens.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/DerivationData.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/Evidence.lean	PUBLIC-EVIDENCE	-
LeanProofs/CustodyIndexed/Evidence/CaveatSequent.lean	PUBLIC-EVIDENCE	-
LeanProofs/CustodyIndexed/Evidence/CrossingBalance.lean	PUBLIC-EVIDENCE	-
LeanProofs/CustodyIndexed/Evidence/DeltaTSequent.lean	PUBLIC-EVIDENCE	-
LeanProofs/CustodyIndexed/Evidence/FluencySequent.lean	PUBLIC-EVIDENCE	-
LeanProofs/CustodyIndexed/Evidence/NoSilentDelta.lean	PUBLIC-EVIDENCE	-
LeanProofs/CustodyIndexed/EvidenceCalculusSequent.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/ExecutionObligationSequent.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/ExecutionSequent.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/FiniteSupportChecker.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/JurisdictionScreen.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/LinearNormalization.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/OccurrenceTrace.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/OverlapAudits.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/ProfileStages.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/StructuralNormalization.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/StructuralPolicySequent.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/TemporalSurfaceAdapter.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/TemporalToSurfaceBridgeWiring.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/TracedCoherence.lean	STABLE-SURFACE	custody-indexed
LeanProofs/CustodyIndexed/Zoo.lean	STABLE-SURFACE	custody-indexed
LeanProofs/JudgmentOrientation.lean	STABLE-SURFACE	judgment-orientation
LeanProofs/JudgmentOrientation/Attribution.lean	STABLE-SURFACE	judgment-orientation
LeanProofs/JudgmentOrientation/Bridge.lean	STABLE-SURFACE	judgment-orientation
LeanProofs/JudgmentOrientation/Core.lean	STABLE-SURFACE	judgment-orientation
LeanProofs/JudgmentOrientation/Examples.lean	PUBLIC-EVIDENCE	-
LeanProofs/JudgmentOrientation/OriginSupport.lean	STABLE-SURFACE	judgment-orientation
LeanProofs/JudgmentOrientation/Provenance.lean	STABLE-SURFACE	judgment-orientation
LeanProofs/OpsMasking.lean	PUBLIC-EVIDENCE	-
LeanProofs/Paper24SharedVision.lean	PUBLIC-EVIDENCE	-
LeanProofs/Paper25EpistemicBorderControl.lean	PUBLIC-EVIDENCE	-
LeanProofs/PersistenceModel.lean	PUBLIC-EVIDENCE	-
LeanProofs/ProofTheory.lean	STABLE-SURFACE	proof-theory
LeanProofs/ProofTheory/Evidence.lean	PUBLIC-EVIDENCE	-
LeanProofs/ProofTheory/MembershipG3/Audit.lean	PUBLIC-EVIDENCE	-
LeanProofs/ProofTheory/MembershipG3/Specimen.lean	STABLE-SURFACE	proof-theory
LeanProofs/ProofTheory/MembershipG3/TextbookG3ip.lean	STABLE-SURFACE	proof-theory
LeanProofs/ReachableDrift.lean	PUBLIC-EVIDENCE	-
LeanProofs/ReachableDrift/Basic.lean	PUBLIC-EVIDENCE	-
LeanProofs/ReachableDrift/Diagnosis.lean	PUBLIC-EVIDENCE	-
LeanProofs/ReachableDrift/FloorBridge.lean	PUBLIC-EVIDENCE	-
LeanProofs/RepairOperator.lean	PUBLIC-EVIDENCE	-
LeanProofs/TaxonomyGraph.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics.lean	STABLE-SURFACE	view-semantics
LeanProofs/ViewSemantics/Adapters.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/Applications.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/Applications/BindingSourceAblation.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/Applications/NoSilentProjectionAxis.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/Audit.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/BoundedProjection.lean	STABLE-SURFACE	view-semantics
LeanProofs/ViewSemantics/CompositionCounterexample.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/Core.lean	STABLE-SURFACE	view-semantics
LeanProofs/ViewSemantics/DynamicTraceAdapter.lean	STABLE-SURFACE	view-semantics
LeanProofs/ViewSemantics/Evidence.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/Evidence/BindingSourceAblation.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/Evidence/CompartmentConflict.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/Evidence/MosaicRelease.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/Evidence/NoSilentProjection.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/EvidenceMathlib.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/Examples.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/FiniteChecker.lean	STABLE-SURFACE	view-semantics
LeanProofs/ViewSemantics/FiniteCheckerExamples.lean	PUBLIC-EVIDENCE	-
LeanProofs/ViewSemantics/ObligationIndependence.lean	STABLE-SURFACE	view-semantics
LeanProofs/ViewSemantics/P25Adapter.lean	PUBLIC-EVIDENCE	-
LeanProofs/Witnessed.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/AbstractNormalization.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/AuthorityModel.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/AxisIndependence.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/CarryLaws.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/CommutesNecessity.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/Coordinates.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/Derivation.lean	STABLE-SURFACE	custody-indexed,witnessed
LeanProofs/Witnessed/Discipline.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/Divergence.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/Embedding.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/Evidence.lean	PUBLIC-EVIDENCE	-
LeanProofs/Witnessed/Examples.lean	PUBLIC-EVIDENCE	-
LeanProofs/Witnessed/Formula.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/Freshness.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/Gentzen.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/HeadOnlyGentzenCutFailure.lean	PUBLIC-EVIDENCE	-
LeanProofs/Witnessed/LaunderingCorpus.lean	PUBLIC-EVIDENCE	-
LeanProofs/Witnessed/NoFreeLift.lean	STABLE-SURFACE	custody-indexed,witnessed
LeanProofs/Witnessed/Normalization.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/Obstruction.lean	PUBLIC-EVIDENCE	-
LeanProofs/Witnessed/PaidRecomposition.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/PaidRecomposition/Applications/FiniteSupportOneCrossing.lean	PUBLIC-EVIDENCE	-
LeanProofs/Witnessed/PaidRecomposition/Applications/ResourceTraceOneCrossing.lean	PUBLIC-EVIDENCE	-
LeanProofs/Witnessed/PaidRecomposition/Catalog.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/PaidRecomposition/Countermodels/EndpointCompleteness.lean	PUBLIC-EVIDENCE	-
LeanProofs/Witnessed/PaidRecomposition/Payment.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/ResourceChecker.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/ResourceCheckerExec.lean	STABLE-SURFACE	witnessed
LeanProofs/Witnessed/ResourceSequent.lean	STABLE-SURFACE	custody-indexed,witnessed
LeanProofs/Witnessed/Sequent.lean	STABLE-SURFACE	custody-indexed,witnessed
downstream/wdc-v2-consumer/DownstreamWdcV2.lean	PUBLIC-EVIDENCE	-
